discipline;macro;codes
"Sciences de l’Information";"LSHS";["020", "060", "070", "090"]
"Philosophie / Psychologie";"LSHS";["100"]
"Philosophie";"LSHS";["110","120","130","140","160","170","180","190"]
"Psychologie";"LSHS";["150"]
"Religion";"LSHS";["2"]
"Sciences Sociales";"LSHS";["300","310","390"]
"Sciences Politiques et de l'Administration";"LSHS";["320","350","360"]
"Économie";"LSHS";["330"]
"Droit";"LSHS";["340"]
"Sciences de l'Éducation";"LSHS";["370"]
"Gestion-Management";"LSHS";["380","640","650"]
"Langues";"LSHS";["400"]
"Arts";"LSHS";["7"]
"Littérature";"LSHS";["8"]
"Histoire/Géographie - Généralités";"LSHS";["900"]
"Géographie";"LSHS";["910"]
"Histoire";"LSHS";["920","930","940","950","960","970","980","990"]
"Informatique";"STM";["000","004"]
"Sciences fondamentales","généralités";"STM";["500"]
"Mathématiques";"STM";["510"]
"Astronomie";"STM";["520"]
"Physique";"STM";["530"]
"Chimie";"STM";["540"]
"Sciences de la Terre";"STM";["550"]
"Paléontologie - Paléozoologie";"STM";["560"]
"Biologie / Zoologie";"STM";["570","580","590"]
"Sciences appliquées - généralités";"STM";["600"]
"Médecine - Santé";"STM";["610"]
"Sciences de l’Ingénieur";"STM";["620","630","660","670","680","690"]
