doi_prefix,publisher
10.3917,CAIRN
10.4000,OpenEdition Journals
10.4000/books,OpenEdition Books
10.54390,DeVisu (INHA)
10.35690,Editions Quae
10.1051,EDP Sciences
10.46298,Episciences (CCSD)
10.1684,John Libbey Eurotext
10.3166,Lavoisier
10.5802,Mersenne (Mathdoc)
10.20870,Open U Journals (Bordeaux - INRAE - Lorraine)
10.53480,OPUS (Paris-Cité)
10.57086,Paréo (Strasbourg)
10.56698,PépiNord (Paris Nord)
10.54563,Peren (Lille)
10.56078,Pergola (Bretagne)
10.3406,Persée
10.4267,Persée
10.52497,Polen (Clermont-Ferrand)
10.35562,Prairial (Lyon - Saint-Etienne)
10.58335,Préo (Dijon)
10.51203,Presses universitaires de Caen
10.25965,PULIM (Limoges)
10.5252,Science Press (MNHN)
10.5852,Science Press (MNHN)
10.46608,UN@ (Universités Nouvelle Aquitaine Éditions)
